Title,Evaluation ID,Calendar ID,Start Date and Time,Criteria1,Criteria2,Criteria3,Criteria4,Criteria5,AverageScore,Notes,Status
"2","2","2","11/05/2023 5:00 SA",,,,,,"0,00",,"false"
"3","3","3","12/05/2023 4:00 CH","4","5","3","3","2","3,40",,"true"
"4","4","4","01/06/2023 12:00 SA","3","5","4","4","4","4,00",,"true"
"5","5","5","01/04/2023 8:30 SA",,,,,,"0,00",,"false"
"6","6","6","01/04/2023 7:00 CH",,,,,,"0,00",,"false"
"7","7","7","17/05/2023 1:10 CH",,,,,,"0,00",,"false"
"8","8","8","20/05/2023 7:00 CH",,,,,,"0,00",,"false"
"1","1","1","16/05/2023 4:00 CH","4","4","4","4","3","3,80","You can do better!!!!!!!","true"
"9","9","9","18/05/2023 12:00 SA",,,,,,"0,00",,"false"
"10","10","10","27/05/2023 1:30 CH",,,,,,"0,00",,"false"
